DATA,,,,,,,,
key,data,,,,,,,
token_name,Oxygen,,,,,,,
token_symbol,OXY,,,,,,,
start_date,01/12/2021,,,,,,,
start_tokens,10000000000,,,,,,,
emission_schedule,1D,,,,,,,
emission_type,linear_unlock,,,,,,,
emission_incentive,,,,,,,,
DISTRIBUTION,,,,,,,,
entity,Community Fund,Team,Serum Ecosystem Incentives,Maps Ecosystem Incentives,Product and Tech Growth,Private Sale,IEO,Partners
type,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage
group,community,team,community,community,team,investors,public,team
emission,unlock,unlock,unlock,unlock,unlock,unlock,unlock,unlock
t410,0.49,0.25,1.83,0.25,8.91,0.25,2,0.20
t411,0.50,0.25,1.84,0.25,8.92,0.25,2,0.20
t412,0.51,0.26,1.85,0.26,8.92,0.26,2,0.21
t413,0.53,0.26,1.85,0.26,8.93,0.26,2,0.21
t414,0.54,0.27,1.86,0.27,8.94,0.27,2,0.21
t415,0.55,0.27,1.87,0.27,8.95,0.27,2,0.22
t416,0.56,0.28,1.88,0.28,8.96,0.28,2,0.22
t417,0.57,0.28,1.88,0.28,8.97,0.28,2,0.23
t418,0.58,0.29,1.89,0.29,8.98,0.29,2,0.23
t419,0.59,0.30,1.90,0.30,8.99,0.30,2,0.24
t420,0.60,0.30,1.91,0.30,9.00,0.30,2,0.24
t421,0.61,0.31,1.91,0.31,9.01,0.31,2,0.25
t422,0.62,0.31,1.92,0.31,9.02,0.31,2,0.25
t423,0.64,0.32,1.93,0.32,9.02,0.32,2,0.25
t424,0.65,0.32,1.94,0.32,9.03,0.32,2,0.26
t425,0.66,0.33,1.94,0.33,9.04,0.33,2,0.26
t426,0.67,0.33,1.95,0.33,9.05,0.33,2,0.27
t427,0.68,0.34,1.96,0.34,9.06,0.34,2,0.27
t428,0.69,0.35,1.97,0.35,9.07,0.35,2,0.28
t429,0.70,0.35,1.97,0.35,9.08,0.35,2,0.28
t430,0.71,0.36,1.98,0.36,9.09,0.36,2,0.28
t431,0.72,0.36,1.99,0.36,9.10,0.36,2,0.29
t432,0.73,0.37,2.00,0.37,9.11,0.37,2,0.29
t433,0.74,0.37,2.00,0.37,9.11,0.37,2,0.30
t434,0.76,0.38,2.01,0.38,9.12,0.38,2,0.30
t435,0.77,0.38,2.02,0.38,9.13,0.38,2,0.31
t436,0.78,0.39,2.02,0.39,9.14,0.39,2,0.31
t437,0.79,0.39,2.03,0.39,9.15,0.39,2,0.32
t438,0.80,0.40,2.04,0.40,9.16,0.40,2,0.32
t439,0.81,0.41,2.05,0.41,9.17,0.41,2,0.32
t440,0.82,0.41,2.05,0.41,9.18,0.41,2,0.33
t441,0.83,0.42,2.06,0.42,9.19,0.42,2,0.33
t442,0.84,0.42,2.07,0.42,9.20,0.42,2,0.34
t443,0.85,0.43,2.08,0.43,9.20,0.43,2,0.34
t444,0.87,0.43,2.08,0.43,9.21,0.43,2,0.35
t445,0.88,0.44,2.09,0.44,9.22,0.44,2,0.35
t446,0.89,0.44,2.10,0.44,9.23,0.44,2,0.35
t447,0.90,0.45,2.11,0.45,9.24,0.45,2,0.36
t448,0.91,0.45,2.11,0.45,9.25,0.45,2,0.36
t449,0.92,0.46,2.12,0.46,9.26,0.46,2,0.37
t450,0.93,0.47,2.13,0.47,9.27,0.47,2,0.37
t451,0.94,0.47,2.14,0.47,9.28,0.47,2,0.38
t452,0.95,0.48,2.14,0.48,9.29,0.48,2,0.38
t453,0.96,0.48,2.15,0.48,9.30,0.48,2,0.39
t454,0.97,0.49,2.16,0.49,9.30,0.49,2,0.39
