DATA,,,,
key,data,,,,,
token_name,Genopets,,,
token_symbol,GENE,,,
start_date,19/11/2021,,,
start_tokens,100000000,,,
emission_schedule,1D,,,
emission_type,linear_unlock,,,
emission_incentive,,,,
DISTRIBUTION,,,,
entity,private sale,public sale,team & advisors,community treasure and P2E
type,percentage,percentage,percentage,percentage
group,investors,public,team,community
emission,unlock,unlock,unlock,unlock
allocation,32.5,1.5,25,41
t537,15.32,1.50,3.92,13.47
t538,15.40,1.50,3.95,13.49
t539,15.49,1.50,3.97,13.51
t540,15.58,1.50,3.99,13.53
t541,15.67,1.50,4.01,13.55
t542,15.76,1.50,4.04,13.58
t543,15.85,1.50,4.06,13.60
t544,15.94,1.50,4.08,13.62
t545,16.03,1.50,4.11,13.64
t546,16.12,1.50,4.13,13.66
t547,16.21,1.50,4.15,13.68
t548,16.29,1.50,4.17,13.70
t549,16.38,1.50,4.20,13.73
t550,16.47,1.50,4.22,13.75
t551,16.56,1.50,4.24,13.77
t552,16.65,1.50,4.27,13.79
t553,16.74,1.50,4.29,13.81
t554,16.83,1.50,4.31,13.83
t555,16.92,1.50,4.33,13.85
t556,17.01,1.50,4.36,13.88
t557,17.10,1.50,4.38,13.90
t558,17.18,1.50,4.40,13.92
t559,17.27,1.50,4.43,13.94
t560,17.36,1.50,4.45,13.96
t561,17.45,1.50,4.47,13.98
t562,17.54,1.50,4.49,14.00
t563,17.63,1.50,4.52,14.02
t564,17.72,1.50,4.54,14.05
t565,17.81,1.50,4.56,14.07
t566,17.90,1.50,4.58,14.09
t567,17.99,1.50,4.61,14.11
t568,18.08,1.50,4.63,14.13
t569,18.16,1.50,4.65,14.15
t570,18.25,1.50,4.68,14.17
t571,18.34,1.50,4.70,14.20
t572,18.43,1.50,4.72,14.22
t573,18.52,1.50,4.74,14.24
t574,18.61,1.50,4.77,14.26
t575,18.70,1.50,4.79,14.28
t576,18.79,1.50,4.81,14.30
t577,18.88,1.50,4.84,14.32
t578,18.97,1.50,4.86,14.35
t579,19.05,1.50,4.88,14.37
t580,19.14,1.50,4.90,14.39
t581,19.23,1.50,4.93,14.41
t582,19.32,1.50,4.95,14.43
t583,19.41,1.50,4.97,14.45
t584,19.50,1.50,5.00,14.47
t585,19.59,1.50,5.02,14.49
t586,19.68,1.50,5.04,14.52
t587,19.77,1.50,5.06,14.54
t588,19.86,1.50,5.09,14.56
t589,19.95,1.50,5.11,14.58
t590,20.03,1.50,5.13,14.60
t591,20.12,1.50,5.16,14.62
t592,20.21,1.50,5.18,14.64
t593,20.30,1.50,5.20,14.67
t594,20.39,1.50,5.22,14.69
t595,20.48,1.50,5.25,14.71
t596,20.57,1.50,5.27,14.73
t597,20.66,1.50,5.29,14.75
t598,20.75,1.50,5.31,14.77
t599,20.84,1.50,5.34,14.79
t600,20.92,1.50,5.36,14.81
t601,21.01,1.50,5.38,14.84
t602,21.10,1.50,5.41,14.86
t603,21.19,1.50,5.43,14.88
t604,21.28,1.50,5.45,14.90
t605,21.37,1.50,5.47,14.92
t606,21.46,1.50,5.50,14.94
t607,21.55,1.50,5.52,14.96
t608,21.64,1.50,5.54,14.99
t609,21.73,1.50,5.57,15.01
t610,21.82,1.50,5.59,15.03
t611,21.90,1.50,5.61,15.05
t612,21.99,1.50,5.63,15.07
t613,22.08,1.50,5.66,15.09
t614,22.17,1.50,5.68,15.11
t615,22.26,1.50,5.70,15.14
t616,22.35,1.50,5.73,15.16
t617,22.44,1.50,5.75,15.18
t618,22.53,1.50,5.77,15.20
t619,22.62,1.50,5.79,15.22
t620,22.71,1.50,5.82,15.24
t621,22.79,1.50,5.84,15.26
t622,22.88,1.50,5.86,15.28
t623,22.97,1.50,5.89,15.31
t624,23.06,1.50,5.91,15.33
t625,23.15,1.50,5.93,15.35
t626,23.24,1.50,5.95,15.37
t627,23.33,1.50,5.98,15.39
t628,23.42,1.50,6.00,15.41
t629,23.51,1.50,6.02,15.43
t630,23.60,1.50,6.04,15.46
t631,23.68,1.50,6.07,15.48
t632,23.77,1.50,6.09,15.50
t633,23.86,1.50,6.11,15.52
t634,23.95,1.50,6.14,15.54
t635,24.04,1.50,6.16,15.56
t636,24.13,1.50,6.18,15.58
t637,24.22,1.50,6.20,15.61
t638,24.31,1.50,6.23,15.63
t639,24.40,1.50,6.25,15.65
t640,24.49,1.50,6.27,15.67
t641,24.58,1.50,6.30,15.69
t642,24.66,1.50,6.32,15.71
t643,24.75,1.50,6.34,15.73
t644,24.84,1.50,6.36,15.75
t645,24.93,1.50,6.39,15.78
t646,25.02,1.50,6.41,15.80
t647,25.11,1.50,6.43,15.82
t648,25.20,1.50,6.46,15.84
t649,25.29,1.50,6.48,15.86
t650,25.38,1.50,6.50,15.88
t651,25.47,1.50,6.52,15.90
t652,25.55,1.50,6.55,15.93
t653,25.64,1.50,6.57,15.95
t654,25.73,1.50,6.59,15.97
t655,25.82,1.50,6.61,15.99
t656,25.91,1.50,6.64,16.01
t657,26.00,1.50,6.66,16.03
t658,26.09,1.50,6.68,16.05
t659,26.18,1.50,6.71,16.08
t660,26.27,1.50,6.73,16.10
t661,26.36,1.50,6.75,16.12
t662,26.45,1.50,6.77,16.14
t663,26.53,1.50,6.80,16.16
t664,26.62,1.50,6.82,16.18
t665,26.71,1.50,6.84,16.20
t666,26.80,1.50,6.87,16.22
t667,26.89,1.50,6.89,16.25
t668,26.98,1.50,6.91,16.27
